# Noms de la població. 2020
# Baix Empordà
# Font: Idescat, a partir del Registre de Població de Catalunya.
# Nota: ‰ calculat sobre el total de la població a la dècada seleccionada.
# Nota: Només es mostren els noms de freqüència igual o superior a 4.
# Institut d'Estadística de Catalunya
# http://www.idescat.cat/noms/?sexe=0&res=d10
# Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
00152;H;ADAM;185;1,38
00152;D;ÀNGELA/ÁNGELA;185;1,38
00154;H;ANTONI;181;1,35
00155;H;JUAN CARLOS;179;1,33
00156;D;CATALINA;178;1,32
00157;D;MAR;177;1,32
00158;H;ANDRÉS;173;1,29
00159;H;CRISTIÁN;171;1,27
00160;D;ESTER;169;1,26
00161;H;JUAN ANTONIO;165;1,23
00162;D;LUCÍA;164;1,22
00163;D;MARIA JOSEFA/MARÍA JOSEFA;159;1,18
00164;D;EMMA;156;1,16
00165;H;RICARDO;155;1,15
00166;D;JANA;154;1,15
00166;D;JUDITH;154;1,15
00168;H;ADRIÁN;153;1,14
00168;H;JUAN MANUEL;153;1,14
00170;D;JOSEFINA;152;1,13
00170;H;RUBÈN/RUBÉN;152;1,13
00172;H;EMILIO;148;1,10
00172;H;FRANCESC XAVIER;148;1,10
00174;H;EDUARDO;147;1,09
00175;D;ALÍCIA/ALICIA;146;1,09
00175;H;MARCOS;146;1,09
00177;H;MARIO;144;1,07
00177;H;MUSTAPHA;144;1,07
00179;H;BIEL;140;1,04
00180;H;TOMÀS/TOMÁS;139;1,03
00181;D;PATRÍCIA/PATRICIA;137;1,02
00182;H;OMAR;136;1,01
00183;H;GABRIEL;135;1,00
00183;H;RACHID;135;1,00
00185;D;EMÍLIA/EMILIA;133;0,99
00185;D;JOANA;133;0,99
00187;D;ELISABET;132;0,98
00187;H;SAID/SAÏD;132;0,98
00189;H;ALFONSO;131;0,97
00190;H;DIEGO;130;0,97
00190;H;SEBASTIAN/SEBASTIÁN;130;0,97
00192;H;HUGO;128;0,95
00193;D;MARIA DEL MAR/ MARÍA DEL MAR;127;0,94
00193;D;TÀNIA/TANIA;127;0,94
00195;D;NEUS;125;0,93
00195;H;VICENTE;125;0,93
00197;D;ÁNGELES;124;0,92
00198;D;ABRIL;121;0,90
00198;D;ONA;121;0,90
00200;D;MARIA JESÚS/MARÍA JESÚS;120;0,89
00201;H;ELOI;119;0,88
00201;H;ISMAEL;119;0,88
00201;D;VERÒNICA/VERÓNICA;119;0,88
00204;D;AYA;118;0,88
00204;H;HASSAN;118;0,88
00204;D;KHADIJA;118;0,88
00204;H;MIMOUN;118;0,88
00204;D;SOFÍA/SOFIA;118;0,88
00209;H;ALEXANDRE;117;0,87
00209;H;ISAAC;117;0,87
00209;H;PABLO;117;0,87
00212;D;ALEXANDRA;116;0,86
00213;D;HELENA;115;0,86
00214;D;CAROLINA;114;0,85
00215;D;MARIA DEL CARME/MARÍA DEL CARME;113;0,84
00215;D;MARIONA;113;0,84
00217;D;MERITXELL;112;0,83
00218;D;DANIELA;111;0,83
00218;D;NORA;111;0,83
00220;H;ALI/ALÍ;110;0,82
00220;H;MANEL;110;0,82
00220;D;MARIA MERCEDES/MARÍA MERCEDES;110;0,82
00223;D;LUISA;108;0,80
00224;H;IKER;107;0,80
00225;D;IRINA;106;0,79
00225;H;JULIÁN;106;0,79
00225;H;MARTÍN;106;0,79
00228;D;MARIA ANTONIA/MARÍA ANTONIA;105;0,78
00228;D;MARIA ÀNGELS;105;0,78
00230;H;FÈLIX/FÉLIX;103;0,77
00230;D;MALIKA;103;0,77
00230;H;ROBERT;103;0,77
00233;D;AICHA;102;0,76
00233;H;AITOR;102;0,76
00235;H;BILAL;101;0,75
00236;H;AGUSTÍN;100;0,74
00236;D;LOURDES;100;0,74
00236;D;NOA;100;0,74
00239;H;ANDREU;99;0,74
00239;H;RAYAN;99;0,74
00241;H;LLUC;98;0,73
00241;D;NÀDIA/NADIA;98;0,73
00243;D;ELSA;96;0,71
00243;D;NOÈLIA/NOELIA;96;0,71
00245;H;JULIO;95;0,71
00245;D;VANESA;95;0,71
00247;D;NOEMÍ/NOEMI;94;0,70
00247;H;RICARD;94;0,70
00247;H;ÀYOUB/ÁYOUB;94;0,70
00250;D;MAGDALENA;93;0,69
00250;D;MARIA ELENA/MARÍA ELENA;93;0,69
00250;D;MARIA MERCÈ/MARÍA MERCÈ;93;0,69
00253;D;MARIA LLUÏSA/MARÍA LLUÏSA;92;0,68
00254;D;JÈSSICA/JESSICA;91;0,68
00255;D;BEATRIZ;90;0,67
00255;D;MALAK;90;0,67
00257;D;INMACULADA;89;0,66
00257;D;VALENTINA;89;0,66
00259;D;FATIHA;88;0,65
00260;H;ANAS/ANÁS;86;0,64
00261;D;KARIMA;84;0,62
00261;D;SALMA;84;0,62
00263;H;ALEXANDER;83;0,62
00264;D;CARLOTA;82;0,61
00264;D;MARIA ASUNCIÓN/MARÍA ASUNCIÓN;82;0,61
00266;H;ABDELLAH;81;0,60
00266;H;GENÍS;81;0,60
00266;H;IZAN;81;0,60
00266;D;JOAQUINA;81;0,60
00266;D;TATIANA;81;0,60
00271;D;MARIA VICTÒRIA/MARÍA VICTORIA;80;0,59
00272;D;IMMACULADA;79;0,59
00272;D;NEREA;79;0,59
00272;D;SAMIRA;79;0,59
00275;D;RACHIDA;78;0,58
00275;D;XÈNIA/XENIA;78;0,58
00277;H;ANIOL;77;0,57
00277;D;CONCEPCIÓ;77;0,57
00277;D;CONSUELO;77;0,57
00277;H;HICHAM;77;0,57
00277;H;LUCAS;77;0,57
00277;D;MÀRIAM/MARIAM;77;0,57
00277;H;NICOLÀS/NICOLÁS;77;0,57
00284;D;NAIMA;76;0,57
00285;H;ABDELAZIZ;75;0,56
00285;D;ELVIRA;75;0,56
00285;H;ERIK;75;0,56
00285;H;FRANCISCO JOSÉ;75;0,56
00285;D;GEORGINA;75;0,56
00285;H;NARCISO;75;0,56
00291;D;BLANCA;74;0,55
00291;D;FRANCESCA;74;0,55
00291;H;IGNACIO;74;0,55
00294;D;ENRIQUETA;73;0,54
00294;H;ESTEBAN;73;0,54
00294;D;IVET;73;0,54
00297;D;ADRIANA;72;0,54
00298;D;AINHOA;71;0,53
00298;D;AMINA;71;0,53
00298;D;ARACELI;71;0,53
00298;D;ARLET;71;0,53
00298;D;MARIA CRISTINA/MARÍA CRISTINA;71;0,53
00298;H;ROBERTO;71;0,53
00304;H;ABEL;69;0,51
00304;D;AIDA/AÏDA/AÍDA;69;0,51
00304;D;MARIANA;69;0,51
00304;D;YASMINA;69;0,51
00308;H;BRUNO;68;0,51
00308;H;MARCEL;68;0,51
00308;D;REMEDIOS;68;0,51
00311;H;AARON/AARÓN;67;0,50
00311;H;ABDELKADER;67;0,50
00311;D;ELISABETH;67;0,50
00311;D;LORENA;67;0,50
00311;D;MARIA MONTSERRAT/MARÍA MONTSERRAT;67;0,50
00311;D;MARIA ÀNGELA/MARÍA ÁNGELA;67;0,50
00311;D;TRINIDAD;67;0,50
00318;H;AYMAN;66;0,49
00318;H;JOSÉ MIGUEL;66;0,49
00320;D;ALÈXIA/ALEXIA;65;0,48
00320;H;DOMINGO;65;0,48
00320;H;IAN;65;0,48
00323;D;ESTEFANIA/ESTEFANÍA;64;0,48
00323;H;JUAN FRANCISCO;64;0,48
00323;H;MAX;64;0,48
00323;D;ÍNGRID;64;0,48
00327;D;AURORA;63;0,47
00327;H;AZIZ;63;0,47
00327;H;BERNAT;63;0,47
00327;D;VANESSA;63;0,47
00327;H;ÁLVARO;63;0,47
00332;D;ASUNCIÓN;62;0,46
00332;D;EVA MARIA/EVA MARÍA;62;0,46
00332;D;HAJAR;62;0,46
00332;H;HAMZA;62;0,46
00332;D;INÉS;62;0,46
00332;D;PURIFICACIÓN;62;0,46
00338;D;ADELA;61;0,45
00338;D;DIANA;61;0,45
00338;D;HANANE;61;0,45
00338;H;IGNASI;61;0,45
00338;H;KHALID;61;0,45
00343;H;CHRISTIAN;60;0,45
00344;D;ALEJANDRA;59;0,44
00344;D;JAMILA;59;0,44
00344;D;SOLEDAD;59;0,44
00347;D;ELISA;58;0,43
00347;D;RITA;58;0,43
00349;H;IBRAHIM;57;0,42
00349;D;NIEVES;57;0,42
00349;D;ROCÍO;57;0,42
00349;H;YASSIN;57;0,42
00349;D;ÈLIA/ELIA;57;0,42
00354;H;CRISTÓBAL;56;0,42
00354;H;HAMID;56;0,42
00354;D;JOAQUIMA;56;0,42
00354;D;MARIA LOURDES/MARÍA LOURDES;56;0,42
00354;D;MARWA;56;0,42
00354;D;SIHAM;56;0,42
00360;D;CÈLIA/CELIA;55;0,41
00360;D;FADMA;55;0,41
00360;D;GISELA;55;0,41
00360;H;JAMAL;55;0,41
00360;H;JOSÉ RAMON/JOSÉ RAMÓN;55;0,41
00360;D;VALÈRIA/VALERIA;55;0,41
00366;H;BRAHIM;54;0,40
00366;D;ESPERANZA;54;0,40
00366;H;ESTEVE;54;0,40
00366;H;KARIM;54;0,40
00366;D;SUSANNA;54;0,40
00366;H;ZAKARIA;54;0,40
00372;D;ANA ISABEL;53;0,39
00372;D;BOUCHRA;53;0,39
00372;D;ELISENDA;53;0,39
00372;H;ISMAÏL/ISMAÍL;53;0,39
00372;D;MARIA CONCEPCIÓN/MARÍA CONCEPCIÓN;53;0,39
00372;D;SAIDA;53;0,39
00372;D;TAMARA;53;0,39
00379;H;AMIR;52;0,39
00379;H;DRISS;52;0,39
00379;D;HAYAT;52;0,39
00379;D;QUERALT;52;0,39
00379;H;ROC;52;0,39
00379;D;SOUAD;52;0,39
00385;D;HAFIDA;51;0,38
00385;D;LIA/LÍA;51;0,38
00385;D;MATILDE;51;0,38
00388;H;ALFREDO;50;0,37
00388;D;AMPARO;50;0,37
00388;D;EULÀLIA/EULALIA;50;0,37
00388;H;HÈCTOR/HÉCTOR;50;0,37
00388;D;LEONOR;50;0,37
00388;H;MAHAMADOU;50;0,37
00388;H;MARIANO;50;0,37
00388;D;NAJAT;50;0,37
00396;H;ALAN;49;0,36
00396;D;AMÀLIA/AMALIA;49;0,36
00396;H;FELIPE;49;0,36
00396;H;KEVIN;49;0,36
00396;D;LATIFA;49;0,36
00396;D;MARÍA DE LOS ÁNGELES;49;0,36
00396;H;SAMIR;49;0,36
00403;D;GINA;48;0,36
00403;H;GUILLERMO;48;0,36
00403;D;NATIVIDAD;48;0,36
00403;H;VICENÇ;48;0,36
00407;D;LLUÏSA;47;0,35
00407;D;VIRGÍNIA/VIRGINIA;47;0,35
00409;H;AGUSTÍ;46;0,34
00409;D;BRUNA;46;0,34
00409;H;CÈSAR/CÉSAR;46;0,34
00409;D;IMAN;46;0,34
00409;D;MARIA ROSARIO/MARÍA ROSARIO;46;0,34
00409;H;YASSINE;46;0,34
00415;D;IRIS;45;0,33
00415;D;LAILA;45;0,33
00415;D;MARGARIDA;45;0,33
00415;H;ROMAN/ROMÁN;45;0,33
00415;H;UNAI;45;0,33
00415;D;ZOHRA;45;0,33
00421;D;PIEDAD;44;0,33
00422;H;DÍDAC;43;0,32
00422;H;EDGAR;43;0,32
00422;H;ILYAS;43;0,32
00422;D;JENNIFER;43;0,32
00422;H;JOSÉ FRANCISCO;43;0,32
00422;H;LORENZO;43;0,32
00422;D;MARIA NIEVES/MARÍA NIEVES;43;0,32
00422;H;NOUREDDINE;43;0,32
00422;D;SVETLANA;43;0,32
00431;H;ABDERRAHIM;42;0,31
00431;D;AITANA;42;0,31
00431;D;DÚNIA/DUNIA;42;0,31
00431;H;FOUAD;42;0,31
00431;D;HANAN;42;0,31
00431;D;MARIA EUGÈNIA/MARÍA EUGENIA;42;0,31
00431;D;RAMONA;42;0,31
00431;D;ZAHRA;42;0,31
00439;H;AMIN;41;0,30
00439;D;AMIRA;41;0,30
00439;H;ELOY;41;0,30
00439;H;EMILI;41;0,30
00439;H;ENZO;41;0,30
00439;H;LEO;41;0,30
00439;D;MIA;41;0,30
00446;H;ABDESLAM;40;0,30
00446;D;AINOA;40;0,30
00446;D;BÀRBARA/BÁRBARA;40;0,30
00446;H;EL HASSAN;40;0,30
00446;H;ERNEST;40;0,30
00446;D;FARIDA;40;0,30
00446;D;LOLA;40;0,30
00446;D;RAFAELA;40;0,30
00446;D;REMEI;40;0,30
00446;D;YAMINA;40;0,30
00456;D;ADORACIÓN;39;0,29
00456;H;ARTURO;39;0,29
00456;D;ASCENSION/ASCENSIÓN;39;0,29
00456;H;GREGORIO;39;0,29
00456;H;IMRAN;39;0,29
00456;D;NINA;39;0,29
00456;H;QUIM;39;0,29
00456;H;SIMON/SIMÓN;39;0,29
00456;H;YOUNES;39;0,29
00465;D;CATERINA;38;0,28
00465;H;JUAN MIGUEL;38;0,28
00465;D;LINA;38;0,28
00465;D;MARIA GLÒRIA/MARÍA GLORIA;38;0,28
00465;D;YASMIN;38;0,28
00470;H;ADIL;37;0,28
00470;D;AMAL;37;0,28
00470;D;ESTEL;37;0,28
00470;H;MOHAMED AMIN;37;0,28
00470;D;NOUR;37;0,28
00470;H;OLEKSANDR;37;0,28
00470;D;RUTH;37;0,28
00470;H;SAMUEL;37;0,28
00470;H;TORCUATO;37;0,28
00470;H;VLADIMIR;37;0,28
00470;H;VOLODYMYR;37;0,28
00481;H;ABDELKARIM;36;0,27
00481;D;ANGELINA;36;0,27
00481;H;ERNESTO;36;0,27
00481;D;FARAH;36;0,27
00481;D;HALIMA;36;0,27
00481;H;JUAN LUIS;36;0,27
00481;H;MOUSSA;36;0,27
00481;H;NABIL;36;0,27
00481;D;NICOLE;36;0,27
00481;D;ROSALIA/ROSALÍA;36;0,27
00481;H;VALENTÍN;36;0,27
00492;H;ACHRAF;35;0,26
00492;D;AROA;35;0,26
00492;D;HABIBA;35;0,26
00492;H;IGOR;35;0,26
00492;D;IVETTE;35;0,26
00492;H;LUCÀ;35;0,26
00492;D;MARIA NEUS/MARÍA NEUS;35;0,26
00492;D;MARIA SOLEDAD/MARÍA SOLEDAD;35;0,26
00492;H;MARÇAL;35;0,26
00492;H;SERGEY;35;0,26
00502;H;ABDERRAHMAN;34;0,25
00502;H;ANDREY;34;0,25
00502;H;ANTONIO JOSÉ;34;0,25
00502;H;BENITO;34;0,25
00502;H;EBRIMA;34;0,25
00502;H;FEDERICO;34;0,25
00502;D;IKRAM;34;0,25
00502;H;JONATHAN;34;0,25
00502;H;JUAN PEDRO;34;0,25
00502;D;MIMOUNA;34;0,25
00502;H;MUSA;34;0,25
00502;D;ÀFRICA/ÁFRICA;34;0,25
00514;H;ALEXIS;33;0,25
00514;H;ALLAL;33;0,25
00514;D;CECÍLIA/CECILIA;33;0,25
00514;H;ELÍAS;33;0,25
00514;D;FELISA;33;0,25
00514;D;IMANE;33;0,25
00514;D;LEIRE;33;0,25
00514;D;MARIA FRANCISCA/MARÍA FRANCISCA;33;0,25
00514;H;MILOUD;33;0,25
00514;D;RAHMA;33;0,25
00524;D;AGUSTINA;32;0,24
00524;H;AKRAM;32;0,24
00524;D;EKATERINA;32;0,24
00524;D;ENCARNA;32;0,24
00524;D;GABRIELA;32;0,24
00524;D;GALA;32;0,24
00524;D;MARIA GRÀCIA/MARÍA GRACIA;32;0,24
