# Noms de la població. 2020
# Cerdanya
# Font: Idescat, a partir del Registre de Població de Catalunya.
# Nota: ‰ calculat sobre el total de la població a la dècada seleccionada.
# Nota: Només es mostren els noms de freqüència igual o superior a 4.
# Institut d'Estadística de Catalunya
# http://www.idescat.cat/noms/?sexe=0&res=d15
# Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
00233;D;MARIA MERCÈ/MARÍA MERCÈ;14;0,77
00233;D;MARIANA;14;0,77
00233;H;MARTÍN;14;0,77
00233;D;MARÍA DE LOS ÁNGELES;14;0,77
00233;D;TÀNIA/TANIA;14;0,77
00246;D;ASUNCIÓN;13;0,71
00246;D;BLANCA;13;0,71
00246;H;DÍDAC;13;0,71
00246;D;ELISABETH;13;0,71
00246;H;ELOI;13;0,71
00246;D;GEORGINA;13;0,71
00246;H;GUILLERMO;13;0,71
00246;H;HUGO;13;0,71
00246;H;IAN;13;0,71
00246;D;INMACULADA;13;0,71
00246;H;JUAN FRANCISCO;13;0,71
00246;H;JULIÁN;13;0,71
00246;H;LLUC;13;0,71
00246;H;MARCELINO;13;0,71
00246;D;VALENTINA;13;0,71
00246;D;VANESSA;13;0,71
00262;D;AMÀLIA/AMALIA;12;0,66
00262;H;BIEL;12;0,66
00262;H;BRUNO;12;0,66
00262;D;CATALINA;12;0,66
00262;D;DANIELA;12;0,66
00262;H;EDGAR;12;0,66
00262;H;ELOY;12;0,66
00262;H;IKER;12;0,66
00262;H;ISAAC;12;0,66
00262;H;JUAN PABLO;12;0,66
00262;H;LLORENÇ;12;0,66
00262;D;MATILDE;12;0,66
00262;D;NATIVIDAD;12;0,66
00275;H;AARON/AARÓN;11;0,60
00275;D;AGNÈS;11;0,60
00275;H;AITOR;11;0,60
00275;H;ALEXANDRE;11;0,60
00275;H;ALFREDO;11;0,60
00275;H;ARTURO;11;0,60
00275;D;EULÀLIA/EULALIA;11;0,60
00275;D;FRANCESCA;11;0,60
00275;H;HÈCTOR/HÉCTOR;11;0,60
00275;H;ION;11;0,60
00275;D;IRIS;11;0,60
00275;D;LARA;11;0,60
00275;D;LEONOR;11;0,60
00275;H;MARCEL;11;0,60
00275;D;MARIA JOSEFA/MARÍA JOSEFA;11;0,60
00275;D;NOÈLIA/NOELIA;11;0,60
00291;D;BEGOÑA;10;0,55
00291;H;BORJA;10;0,55
00291;H;BUENAVENTURA;10;0,55
00291;H;ERNEST;10;0,55
00291;D;ESPERANZA;10;0,55
00291;D;GISELA;10;0,55
00291;D;HERMÍNIA/HERMINIA;10;0,55
00291;H;IGNASI;10;0,55
00291;H;JOSÉ CARLOS;10;0,55
00291;H;JOSÉ MIGUEL;10;0,55
00291;D;LORENA;10;0,55
00291;D;MARIA CONCEPCIÓN/MARÍA CONCEPCIÓN;10;0,55
00291;H;MATEO;10;0,55
00291;D;NEREA;10;0,55
00291;D;NIEVES;10;0,55
00291;D;NINA;10;0,55
00291;D;PURIFICACIÓN;10;0,55
00291;H;QUIM;10;0,55
00291;D;RAMONA;10;0,55
00291;H;SEBASTIAN/SEBASTIÁN;10;0,55
00311;D;AINARA;9;0,49
00311;D;AITANA;9;0,49
00311;D;ANA ISABEL;9;0,49
00311;D;ARLET;9;0,49
00311;D;BÀRBARA/BÁRBARA;9;0,49
00311;D;CHLOE/CHLÓE;9;0,49
00311;D;ELISA;9;0,49
00311;H;FELIPE;9;0,49
00311;H;FIDEL;9;0,49
00311;H;GENÍS;9;0,49
00311;H;GONZALO;9;0,49
00311;D;IMMACULADA;9;0,49
00311;H;JOSEP ORIOL;9;0,49
00311;H;JOSÉ FRANCISCO;9;0,49
00311;H;JULIO;9;0,49
00311;D;MARIA EUGÈNIA/MARÍA EUGENIA;9;0,49
00311;D;MARIA FERNANDA/MARÍA FERNANDA;9;0,49
00311;D;MARIA INMACULADA/MARÍA INMACULADA;9;0,49
00311;D;MARIA NIEVES/MARÍA NIEVES;9;0,49
00311;H;MARÇAL;9;0,49
00311;D;NORA;9;0,49
00311;D;QUERALT;9;0,49
00311;D;ROCÍO;9;0,49
00311;H;SAMUEL;9;0,49
00311;D;TRINIDAD;9;0,49
00336;H;ALEXIS;8;0,44
00336;D;ALÈXIA/ALEXIA;8;0,44
00336;D;ANA BELÉN;8;0,44
00336;D;ARACELI;8;0,44
00336;D;AURORA;8;0,44
00336;H;BARTOLOMÉ;8;0,44
00336;H;BARTOMEU;8;0,44
00336;H;BONAVENTURA;8;0,44
00336;H;CARLOS ALBERTO;8;0,44
00336;D;CLOÈ/CLOE;8;0,44
00336;H;ELÍAS;8;0,44
00336;D;ESTEFANIA/ESTEFANÍA;8;0,44
00336;H;EUGENIO;8;0,44
00336;D;FÀTIMA/FÁTIMA;8;0,44
00336;H;FÈLIX/FÉLIX;8;0,44
00336;H;GAEL;8;0,44
00336;H;JONATHAN;8;0,44
00336;H;JUAN MIGUEL;8;0,44
00336;H;LUCAS;8;0,44
00336;D;LUISA;8;0,44
00336;D;MARIA GLÒRIA/MARÍA GLORIA;8;0,44
00336;D;MARIA MERCEDES/MARÍA MERCEDES;8;0,44
00336;D;MARIA SOLEDAD/MARÍA SOLEDAD;8;0,44
00336;H;MARIANO;8;0,44
00336;D;RITA;8;0,44
00336;H;ROBERT;8;0,44
00336;D;RUTH;8;0,44
00336;D;SHEILA;8;0,44
00336;H;VÍCTOR MANUEL;8;0,44
00336;D;YASMINA;8;0,44
00336;D;ZOÈ/ZOÉ/ZOE;8;0,44
00336;D;ÈLIA/ELIA;8;0,44
00368;D;ADELA;7;0,38
00368;D;AIDA/AÏDA/AÍDA;7;0,38
00368;H;ALFONS;7;0,38
00368;D;ARIANA;7;0,38
00368;D;CECÍLIA/CECILIA;7;0,38
00368;H;CLAUDIO;7;0,38
00368;D;CONSUELO;7;0,38
00368;H;CRISTÓBAL;7;0,38
00368;D;CÈLIA/CELIA;7;0,38
00368;D;ELSA;7;0,38
00368;H;EMILI;7;0,38
00368;H;EUDALD;7;0,38
00368;H;EUGENI;7;0,38
00368;H;GERMÁN;7;0,38
00368;H;GIL;7;0,38
00368;H;JOAN CARLES;7;0,38
00368;H;JOSÉ IGNACIO;7;0,38
00368;H;JUAN PEDRO;7;0,38
00368;H;KILIAN;7;0,38
00368;D;LILIANA;7;0,38
00368;D;MAITE;7;0,38
00368;H;MANUEL ANTONIO;7;0,38
00368;H;MARCO;7;0,38
00368;D;MARIA DEL ROSER/MARÍA DEL ROSER;7;0,38
00368;H;MATÍAS;7;0,38
00368;D;MIA;7;0,38
00368;H;MOISÈS/MOISÉS;7;0,38
00368;D;NOA;7;0,38
00368;D;NOEMÍ/NOEMI;7;0,38
00368;H;PAÜL/PAÚL;7;0,38
00368;H;RACHID;7;0,38
00368;D;SVETLANA;7;0,38
00368;H;VALENTÍ;7;0,38
00368;D;VALÈRIA/VALERIA;7;0,38
00368;D;VANESA;7;0,38
00368;D;ÀNGELS;7;0,38
00404;H;ADAM;6;0,33
00404;D;AGUSTINA;6;0,33
00404;H;ANTONIO JOSÉ;6;0,33
00404;H;ARAN/ARÁN;6;0,33
00404;D;AROA;6;0,33
00404;D;AURÈLIA/AURELIA;6;0,33
00404;H;AXEL;6;0,33
00404;D;BRUNA;6;0,33
00404;D;DIANA;6;0,33
00404;H;EDWIN;6;0,33
00404;D;ELIZABETH;6;0,33
00404;D;ESTEL;6;0,33
00404;D;GABRIELA;6;0,33
00404;D;GALA;6;0,33
00404;H;GERARDO;6;0,33
00404;H;IZAN;6;0,33
00404;D;JACINTA;6;0,33
00404;D;JENNIFER;6;0,33
00404;D;JULIANA;6;0,33
00404;D;LARISA;6;0,33
00404;D;LIA/LÍA;6;0,33
00404;H;LUCÀ;6;0,33
00404;D;MARIA LUZ/MARÍA LUZ;6;0,33
00404;D;MARIA NÚRIA/MARÍA NURIA;6;0,33
00404;D;MARIBEL;6;0,33
00404;D;MILAGROS;6;0,33
00404;H;MIQUEL ÀNGEL/MIQUEL ÁNGEL;6;0,33
00404;H;MOHAMMED;6;0,33
00404;H;NOAH;6;0,33
00404;D;PAOLA;6;0,33
00404;D;RAFAELA;6;0,33
00404;D;REMEDIOS;6;0,33
00404;H;RODRIGO;6;0,33
00404;H;ROMAN/ROMÁN;6;0,33
00404;D;ROSALIA/ROSALÍA;6;0,33
00404;H;VICENÇ;6;0,33
00404;D;ÁNGELES;6;0,33
00441;H;ALAN;5;0,27
00441;D;ARAN/ARÁN;5;0,27
00441;D;ARES;5;0,27
00441;H;ARTUR;5;0,27
00441;D;ASCENSION/ASCENSIÓN;5;0,27
00441;D;ASSUMPCIÓ;5;0,27
00441;H;BENIGNO;5;0,27
00441;H;CARLOS ANDRÉS;5;0,27
00441;H;CLIMENT;5;0,27
00441;D;CLÀUDIA PATRÍCIA/CLAUDIA PATRICIA;5;0,27
00441;H;DAMIÁN;5;0,27
00441;D;DANA;5;0,27
00441;D;DÈLIA/DELIA;5;0,27
00441;D;ELNA;5;0,27
00441;D;EROLA;5;0,27
00441;H;EUSEBIO;5;0,27
00441;H;FABIÁN;5;0,27
00441;H;FEDERICO;5;0,27
00441;D;FLORENTINA;5;0,27
00441;H;GUIU;5;0,27
00441;H;HAMZA;5;0,27
00441;D;IRINA;5;0,27
00441;D;ISABELLA;5;0,27
00441;H;JACINTO;5;0,27
00441;D;JOAQUIMA;5;0,27
00441;H;JONATAN/JONATÁN;5;0,27
00441;H;JORGE LUIS;5;0,27
00441;H;JOSÉ RAMON/JOSÉ RAMÓN;5;0,27
00441;H;JUAN RAMON/JUAN RAMÓN;5;0,27
00441;D;JUANA MARIA/JUANA MARÍA;5;0,27
00441;H;LUIS MIGUEL;5;0,27
00441;D;LÍLIA/LILIA;5;0,27
00441;D;MARCELINA;5;0,27
00441;H;MARCELO;5;0,27
00441;D;MARIA ASUNCIÓN/MARÍA ASUNCIÓN;5;0,27
00441;D;MARIA BELÉN/MARÍA BELÉN;5;0,27
00441;D;MARIA INÉS/MARÍA INÉS;5;0,27
00441;D;MARIA NEUS/MARÍA NEUS;5;0,27
00441;D;MARIA PAULA/MARÍA PAULA;5;0,27
00441;D;MARISOL;5;0,27
00441;D;MARWA;5;0,27
00441;D;MELANIE;5;0,27
00441;H;MIHAIL;5;0,27
00441;D;NÀDIA/NADIA;5;0,27
00441;D;OLÍVIA/OLIVIA;5;0,27
00441;H;OMAR;5;0,27
00441;D;PIEDAD;5;0,27
00441;H;RAIMON/RAIMÓN;5;0,27
00441;H;RAMIRO;5;0,27
00441;H;SAID/SAÏD;5;0,27
00441;H;SEBASTIÀ;5;0,27
00441;D;SIRA;5;0,27
00441;D;SOLEDAD;5;0,27
00441;D;TAMARA;5;0,27
00441;H;TEO;5;0,27
00441;H;UNAI;5;0,27
00441;H;YOUSSEF;5;0,27
00441;D;ÍNGRID;5;0,27
00499;D;ADORACIÓN;4;0,22
00499;D;ALA;4;0,22
00499;D;ALEXANDRA MARIA/ALEXANDRA MARÍA;4;0,22
00499;H;ALEXANDRU;4;0,22
00499;D;ALINA;4;0,22
00499;D;ALMA;4;0,22
00499;H;AMADEO;4;0,22
00499;H;AMADOR;4;0,22
00499;D;AMANDA;4;0,22
00499;D;ANA CRISTINA;4;0,22
00499;D;ANAÍS/ANAÏS/ANAIS;4;0,22
00499;D;ANGELINA;4;0,22
00499;H;ANIOL;4;0,22
00499;D;ASTRID;4;0,22
00499;D;BENITA;4;0,22
00499;H;CAMILO;4;0,22
00499;D;CARMEN ROSA;4;0,22
00499;D;CATERINA;4;0,22
00499;D;CÀNDIDA/CÁNDIDA;4;0,22
00499;H;CÈSAR/CÉSAR;4;0,22
00499;D;DELFINA;4;0,22
00499;H;DEMETRIO;4;0,22
00499;D;DOMINGA;4;0,22
00499;D;DUNA;4;0,22
00499;H;EMIL;4;0,22
00499;H;ENZO;4;0,22
00499;H;ERIK;4;0,22
00499;D;ERIKA;4;0,22
00499;D;ESTELA;4;0,22
00499;D;EUGÈNIA/EUGENIA;4;0,22
00499;H;FREDDY;4;0,22
00499;D;GENOVEVA;4;0,22
00499;H;GHEORGHE;4;0,22
00499;D;GUADALUPE;4;0,22
00499;H;GUSTAVO ADOLFO;4;0,22
00499;D;HAFIDA;4;0,22
00499;H;HASSAN;4;0,22
00499;H;IBRAHIM;4;0,22
00499;H;IGOR;4;0,22
00499;D;ISONA;4;0,22
00499;D;IVETTE;4;0,22
00499;H;IVO;4;0,22
00499;H;JOAN RAMON/JOAN RAMÓN;4;0,22
00499;H;JOAO;4;0,22
00499;H;JORDI JOAN;4;0,22
00499;D;JOSEPA;4;0,22
00499;H;JOSÉ ENRIQUE;4;0,22
00499;H;JOSÉ VICENTE;4;0,22
00499;H;JUAN DAVID;4;0,22
00499;H;JULIO CÈSAR/JULIO CÉSAR;4;0,22
00499;H;LEANDRO;4;0,22
00499;H;LEO;4;0,22
00499;H;LEONARDO;4;0,22
00499;D;LETÍCIA/LETICIA;4;0,22
00499;D;LLUÏSA;4;0,22
00499;D;LOLA;4;0,22
00499;H;LUIS FELIPE;4;0,22
00499;D;LUZ MARINA;4;0,22
00499;D;MARIA ALBA/MARÍA ALBA;4;0,22
00499;D;MARIA ASSUMPCIÓ;4;0,22
00499;D;MARIA ASSUMPTA;4;0,22
00499;D;MARIA ESTHER/MARÍA ESTHER;4;0,22
00499;D;MARIA MAGDALENA/MARÍA MAGDALENA;4;0,22
00499;D;MARTHA;4;0,22
00499;H;MICHAEL;4;0,22
00499;H;MOUNIR;4;0,22
00499;D;NAIA;4;0,22
00499;D;NAYARA;4;0,22
00499;H;NICOLAE;4;0,22
00499;D;NICOLE;4;0,22
00499;D;PALMIRA;4;0,22
00499;D;PALOMA;4;0,22
00499;H;PATRICK;4;0,22
00499;D;PAULINA;4;0,22
00499;D;REMEI;4;0,22
00499;H;RUBÈN DARÍO/RUBÉN DARÍO;4;0,22
00499;H;RUSLAN;4;0,22
00499;H;SANTOS;4;0,22
00499;D;SVITLANA;4;0,22
00499;D;TETYANA;4;0,22
00499;D;VEGA;4;0,22
00499;D;VERA;4;0,22
00499;H;VICENS;4;0,22
00499;D;VICENTA;4;0,22
00499;D;VIORICA;4;0,22
00499;D;VIRGÍNIA/VIRGINIA;4;0,22
00499;D;XÈNIA/XENIA;4;0,22
00499;D;YANA;4;0,22

